184,126,336,121,337,154,185,158
336,122,456,122,456,154,336,154
878,147,969,147,969,195,878,195
787,151,850,151,850,198,787,198
1007,151,1038,151,1038,188,1007,188
500,154,755,154,755,201,500,201
374,157,472,157,472,201,374,201
188,160,336,160,336,207,188,207
913,201,1168,201,1168,248,913,248
625,208,783,203,785,250,626,254
818,204,881,204,881,251,818,251
818,255,1042,255,1042,302,818,302
629,258,787,258,787,305,629,305
190,411,238,412,232,696,185,695
761,425,925,425,925,459,761,459
944,425,1016,425,1016,456,944,456
1020,425,1057,425,1057,456,1020,456
1064,425,1215,425,1215,456,1064,456
623,428,717,428,717,459,623,459
720,428,758,428,758,459,720,459
928,431,947,431,947,456,928,456
151,462,179,462,179,667,151,667
626,469,976,469,976,516,626,516
626,521,978,517,979,565,626,570
862,635,900,635,900,667,862,667
623,639,711,639,711,670,623,670
717,639,755,639,755,670,717,670
758,642,774,642,774,667,758,667
771,639,859,639,859,670,771,670
1464,673,1656,673,1656,720,1464,720
850,676,1042,676,1042,724,850,724
1139,676,1300,676,1300,724,1139,724
1331,676,1429,676,1429,720,1331,720
629,680,818,680,818,727,629,727
204,847,1841,838,1842,917,204,926
201,938,1841,930,1842,1009,201,1018
198,1034,1844,1027,1845,1101,198,1109
